Street,Raw_Title,Number_of_Rooms,Price,Size_m2,District,URL,Latitude,Longitude,Dist_to_Metro_km,Nearest_Metro,District_Clean
11 Listopada,"Mieszkanie umeblowane, ul. 11 Listopada",2.0,2550.0,47.0,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26558480.html",52.261067,21.0373925,0.56,M2 - Szwedzka,Praga-Północ
Apartament 2-pokojowy Warszawa,Apartament 2-pokojowy Warszawa,2.0,3100.0,51.5,Służewiec,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/26599377.html",,,,,Mokotów
Aleja Jerzego Waszyngtona,"Mieszkanie umeblowane, Aleja Jerzego Waszyngtona",2.0,3500.0,44.0,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,nad-rzeka/26658040.html",52.243652,21.0787083,2.42,M2 - Stadion Narodowy,Praga-Południe
Kazimierzowska,"Mieszkanie umeblowane, ul. Kazimierzowska",2.0,3500.0,41.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26658080.html",52.2032884,21.0153875,0.57,M1 - Racławicka,Mokotów
Obrzeżna,"Apartament 2-pokojowy, ul. Obrzeżna",2.0,3900.0,35.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26623018.html",52.1712479,20.9985342,1.82,M1 - Służew,Mokotów
Górskiego,"Apartament z garażem, ul. Górskiego",3.0,10000.0,90.0,Centrum,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-w-zabudowie/26532602.html",52.2399367,21.0452877,0.86,M2 - Stadion Narodowy,Śródmieście
Szwoleżerów,"Mieszkanie umeblowane, ul. Szwoleżerów",2.0,3300.0,39.8,Ujazdów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26580174.html",52.2167497,21.0397716,1.71,M1 - Politechnika,Śródmieście
Niska,"Kawalerka umeblowana, ul. Niska",1.0,2300.0,27.0,Muranów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/26564700.html",52.2496088,20.9830364,1.23,M1 - Dworzec Gdański,Śródmieście
Aleja Dwudziestolatków,"Mieszkanie umeblowane, Aleja Dwudziestolatków",3.0,2800.0,60.0,Rakowiec,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/26550403.html",52.1936987,20.9648767,3.3,M1 - Racławicka,Ochota
Aleja Niepodległości,"Mieszkanie umeblowane, Aleja Niepodległości",3.0,3550.0,64.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/22892637.html",52.1830301,21.0205854,0.33,M1 - Wilanowska,Śródmieście
